u1,u2,u3,y,ysp
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.911,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9109,6.9108
10.531,0.55,16.6,6.9109,4.3867
8.0715,0.55,16.6,6.9109,4.3867
6.6992,0.55,16.6,6.7011,4.3867
5.9473,0.55,16.6,6.4628,4.3867
5.6588,0.55,16.6,6.2244,4.3867
5.7827,0.55,16.6,5.9725,4.3867
6.3148,0.55,16.6,5.6748,4.3867
7.2497,0.55,16.6,5.2508,4.3867
8.3766,0.55,16.6,4.6193,4.3867
9.3815,0.55,16.6,4.257,4.3867
10.199,0.55,16.6,4.1175,4.3867
10.811,0.55,16.6,4.0684,4.3867
11.218,0.55,16.6,4.0693,4.3867
11.433,0.55,16.6,4.1038,4.3867
11.482,0.55,16.6,4.1629,4.3867
11.4,0.55,16.6,4.2391,4.3867
11.229,0.55,16.6,4.3234,4.3867
11.017,0.55,16.6,4.404,4.3867
10.807,0.55,16.6,4.4679,4.3867
10.632,0.55,16.6,4.5062,4.3867
10.509,0.55,16.6,4.5173,4.3867
10.441,0.55,16.6,4.5069,4.3867
10.421,0.55,16.6,4.4835,4.3867
10.435,0.55,16.6,4.4557,4.3867
10.471,0.55,16.6,4.4293,4.3867
18.306,0.55,16.6,4.4078,9.7778
23.37,0.55,16.6,4.3925,9.7778
24.626,0.55,16.6,5.3343,9.7778
26.349,0.55,16.6,5.984,9.7778
27.466,0.55,16.6,6.3969,9.7778
27.224,0.55,16.6,6.8753,9.7778
23.387,0.55,16.6,8.5145,9.7778
22.009,0.55,16.6,9.5499,9.7778
21.092,0.55,16.6,9.7448,9.7778
20.435,0.55,16.6,9.8403,9.7778
19.955,0.55,16.6,9.8916,9.7778
19.6,0.55,16.6,9.9182,9.7778
19.339,0.55,16.6,9.9296,9.7778
19.147,0.55,16.6,9.9314,9.7778
19.007,0.55,16.6,9.9269,9.7778
18.906,0.55,16.6,9.9186,9.7778
18.836,0.55,16.6,9.9079,9.7778
18.788,0.55,16.6,9.896,9.7778
18.756,0.55,16.6,9.8837,9.7778
18.737,0.55,16.6,9.8716,9.7778
18.727,0.55,16.6,9.8599,9.7778
18.723,0.55,16.6,9.8491,9.7778
18.723,0.55,16.6,9.8392,9.7778
18.726,0.55,16.6,9.8303,9.7778
18.731,0.55,16.6,9.8225,9.7778
18.736,0.55,16.6,9.8156,9.7778
18.742,0.55,16.6,9.8096,9.7778
18.748,0.55,16.6,9.8045,9.7778
18.753,0.55,16.6,9.8001,9.7778
18.758,0.55,16.6,9.7964,9.7778
18.762,0.55,16.6,9.7933,9.7778
18.766,0.55,16.6,9.7908,9.7778
18.769,0.55,16.6,9.7886,9.7778
18.772,0.55,16.6,9.7868,9.7778
18.774,0.55,16.6,9.7853,9.7778
18.776,0.55,16.6,9.7841,9.7778
18.777,0.55,16.6,9.7831,9.7778
18.778,0.55,16.6,9.7823,9.7778
18.779,0.55,16.6,9.7816,9.7778
18.78,0.55,16.6,9.781,9.7778
18.78,0.55,16.6,9.7806,9.7778
18.781,0.55,16.6,9.7802,9.7778
18.781,0.55,16.6,9.7798,9.7778
18.781,0.55,16.6,9.7796,9.7778
18.782,0.55,16.6,9.7793,9.7778
18.782,0.55,16.6,9.7791,9.7778
