u1,u2,u3,y,ysp
16.372,0.55,16.6,7.6918,7.6933
16.372,0.55,16.6,7.6924,7.6933
16.371,0.55,16.6,7.6927,7.6933
16.371,0.55,16.6,7.693,7.6933
16.371,0.55,16.6,7.6931,7.6933
16.371,0.55,16.6,7.6932,7.6933
16.371,0.55,16.6,7.6933,7.6933
16.371,0.55,16.6,7.6933,7.6933
16.371,0.55,16.6,7.6934,7.6933
16.371,0.55,16.6,7.6934,7.6933
16.371,0.55,16.6,7.6934,7.6933
15.647,0.55,16.6,7.6934,6.9108
15.368,0.55,16.6,7.6934,6.9108
15.294,0.55,16.6,7.5694,6.9108
15.29,0.55,16.6,7.4441,6.9108
15.302,0.55,16.6,7.3457,6.9108
15.314,0.55,16.6,7.2709,6.9108
15.324,0.55,16.6,7.213,6.9108
15.33,0.55,16.6,7.1671,6.9108
15.335,0.55,16.6,7.1298,6.9108
15.338,0.55,16.6,7.099,6.9108
15.34,0.55,16.6,7.0733,6.9108
15.342,0.55,16.6,7.0515,6.9108
15.344,0.55,16.6,7.0329,6.9108
15.346,0.55,16.6,7.0169,6.9108
15.347,0.55,16.6,7.0032,6.9108
15.348,0.55,16.6,6.9913,6.9108
15.349,0.55,16.6,6.981,6.9108
15.35,0.55,16.6,6.9721,6.9108
15.351,0.55,16.6,6.9643,6.9108
15.352,0.55,16.6,6.9575,6.9108
15.353,0.55,16.6,6.9516,6.9108
15.354,0.55,16.6,6.9465,6.9108
15.355,0.55,16.6,6.942,6.9108
15.355,0.55,16.6,6.9381,6.9108
15.356,0.55,16.6,6.9346,6.9108
15.356,0.55,16.6,6.9316,6.9108
15.357,0.55,16.6,6.929,6.9108
15.357,0.55,16.6,6.9267,6.9108
15.358,0.55,16.6,6.9247,6.9108
15.358,0.55,16.6,6.923,6.9108
15.358,0.55,16.6,6.9214,6.9108
15.359,0.55,16.6,6.9201,6.9108
15.359,0.55,16.6,6.9189,6.9108
15.359,0.55,16.6,6.9179,6.9108
15.359,0.55,16.6,6.917,6.9108
15.36,0.55,16.6,6.9162,6.9108
15.36,0.55,16.6,6.9155,6.9108
15.36,0.55,16.6,6.9149,6.9108
15.36,0.55,16.6,6.9144,6.9108
15.36,0.55,16.6,6.914,6.9108
15.36,0.55,16.6,6.9136,6.9108
15.36,0.55,16.6,6.9132,6.9108
15.36,0.55,16.6,6.9129,6.9108
15.36,0.55,16.6,6.9126,6.9108
15.36,0.55,16.6,6.9124,6.9108
15.361,0.55,16.6,6.9122,6.9108
15.361,0.55,16.6,6.912,6.9108
12.407,0.55,16.6,6.9119,4.3867
11.03,0.55,16.6,6.9117,4.3867
