t,y,yref
532.5,0.85959,0.78828
535,0.84667,0.7777
537.5,0.83147,0.76594
540,0.81429,0.75316
542.5,0.7954,0.73954
545,0.77503,0.72523
547.5,0.75338,0.71035
550,0.73066,0.69502
552.5,0.70704,0.67934
555,0.68269,0.6634
557.5,0.65777,0.6473
560,0.63244,0.63109
562.5,0.60683,0.61484
565,0.58108,0.59862
567.5,0.55532,0.58246
570,0.52967,0.56641
572.5,0.50423,0.55051
575,0.4791,0.53478
577.5,0.45438,0.51927
580,0.43015,0.50399
582.5,0.40648,0.48897
585,0.38343,0.47421
587.5,0.36106,0.45974
590,0.33942,0.44557
592.5,0.31854,0.4317
595,0.29845,0.41814
597.5,0.27917,0.4049
600,0.26072,0.39198
602.5,0.24311,0.37938
605,0.22634,0.36711
607.5,0.2104,0.35516
610,0.19529,0.34354
612.5,0.18099,0.33223
615,0.1675,0.32124
617.5,0.15478,0.31057
620,0.14281,0.30021
622.5,0.12934,0.29009
625,0.11315,0.28023
627.5,0.094325,0.27076
630,0.073747,0.2618
632.5,0.05274,0.25349
635,0.032814,0.24595
637.5,0.015447,0.23927
640,0.0019095,0.23349
642.5,0,0.22861
645,0,0.22462
647.5,0,0.22146
650,0,0.21905
652.5,0.0089434,0.21729
655,0.023197,0.2161
657.5,0.039822,0.21536
660,0.057862,0.21499
662.5,0.076452,0.21487
665,0.094859,0.21493
667.5,0.11249,0.2151
670,0.12892,0.21531
672.5,0.14383,0.21551
675,0.15704,0.21567
677.5,0.16847,0.21576
680,0.17812,0.21576
682.5,0.18604,0.21567
685,0.19235,0.21549
687.5,0.19719,0.21522
690,0.20071,0.21487
692.5,0.2031,0.21445
695,0.20453,0.21399
697.5,0.20519,0.21349
700,0.20524,0.21296
702.5,0.20549,0.21243
705,0.20538,0.2119
707.5,0.20505,0.21139
710,0.20463,0.21089
712.5,0.2042,0.21042
715,0.20384,0.20998
717.5,0.20363,0.20956
720,0.20359,0.20916
722.5,0.20376,0.20879
725,0.20414,0.20843
727.5,0.20471,0.20807
730,0.20546,0.2077
732.5,0.20634,0.20732
735,0.20729,0.2069
737.5,0.20824,0.20644
740,0.20913,0.20592
742.5,0.20985,0.20534
745,0.21034,0.20468
747.5,0.21049,0.20394
750,0.21025,0.20312
752.5,0.20956,0.20221
755,0.20838,0.20123
757.5,0.20674,0.20018
