t,y,yref
300,0.86882,0.79587
302.5,0.86882,0.79596
305,0.86889,0.79611
307.5,0.86904,0.79632
310,0.86924,0.79659
312.5,0.8695,0.7969
315,0.8698,0.79725
317.5,0.87014,0.79764
320,0.8705,0.79804
322.5,0.87087,0.79846
325,0.87126,0.79888
327.5,0.87164,0.79931
330,0.87201,0.79972
332.5,0.87236,0.80012
335,0.8727,0.80049
337.5,0.87301,0.80084
340,0.87328,0.80115
342.5,0.87353,0.80142
345,0.87373,0.80166
347.5,0.8739,0.80185
350,0.87404,0.802
352.5,0.87413,0.8021
355,0.87418,0.80216
357.5,0.8742,0.80218
360,0.87419,0.80215
362.5,0.87414,0.80209
365,0.87406,0.802
367.5,0.87396,0.80188
370,0.87385,0.80173
372.5,0.87371,0.80156
375,0.87356,0.80138
377.5,0.87341,0.80119
380,0.87325,0.801
382.5,0.8731,0.80081
385,0.87295,0.80062
387.5,0.8728,0.80043
390,0.87266,0.80026
392.5,0.87254,0.80011
395,0.87243,0.79996
397.5,0.87233,0.79984
400,0.87225,0.79973
402.5,0.87218,0.79964
405,0.87213,0.79957
407.5,0.87209,0.79951
410,0.87206,0.79947
412.5,0.87205,0.79945
415,0.87205,0.79943
417.5,0.87205,0.79943
420,0.87207,0.79944
422.5,0.87209,0.79946
425,0.87212,0.79949
427.5,0.87216,0.79952
430,0.87219,0.79956
432.5,0.87224,0.7996
435,0.87228,0.79964
437.5,0.87232,0.79968
440,0.87236,0.79972
442.5,0.87241,0.79976
445,0.87245,0.7998
447.5,0.87249,0.79984
450,0.87252,0.79987
452.5,0.87256,0.7999
455,0.87259,0.79993
457.5,0.87261,0.79996
460,0.87263,0.79998
462.5,0.87265,0.8
465,0.87266,0.80002
467.5,0.87267,0.80003
470,0.87267,0.80004
472.5,0.87267,0.80005
475,0.87267,0.80005
477.5,0.87266,0.80005
480,0.87265,0.80005
482.5,0.87263,0.80005
485,0.87262,0.80005
487.5,0.8726,0.80004
490,0.87259,0.80003
492.5,0.87257,0.80003
495,0.87255,0.80002
497.5,0.87253,0.80001
500,0.87252,0.8
502.5,0.8725,0.79999
505,0.87249,0.79998
507.5,0.87247,0.79997
510,0.87246,0.79997
512.5,0.87246,0.79996
515,0.88253,0.80859
517.5,0.88774,0.81357
520,0.89041,0.81533
522.5,0.8907,0.81427
525,0.88895,0.81073
527.5,0.8855,0.80504
530,0.88061,0.79747
532.5,0.87453,0.78828
535,0.86747,0.7777
537.5,0.85961,0.76594
540,0.85109,0.75316
542.5,0.84204,0.73954
545,0.83255,0.72523
547.5,0.82271,0.71035
550,0.81258,0.69502
552.5,0.80218,0.67934
555,0.79155,0.6634
557.5,0.7807,0.6473
560,0.76963,0.63109
562.5,0.75832,0.61484
565,0.74675,0.59862
567.5,0.73487,0.58246
570,0.72263,0.56641
572.5,0.70997,0.55051
575,0.69681,0.53478
577.5,0.68305,0.51927
580,0.66858,0.50399
582.5,0.65325,0.48897
585,0.63693,0.47421
587.5,0.61945,0.45974
590,0.60065,0.44557
592.5,0.5804,0.4317
595,0.55864,0.41814
597.5,0.53541,0.4049
600,0.51097,0.39198
602.5,0.48578,0.37938
605,0.46046,0.36711
607.5,0.43571,0.35516
610,0.41209,0.34354
612.5,0.38996,0.33223
615,0.36939,0.32124
617.5,0.35029,0.31057
620,0.33252,0.30021
622.5,0.31585,0.29009
625,0.30016,0.28023
627.5,0.28545,0.27076
630,0.27178,0.2618
632.5,0.25925,0.25349
635,0.24791,0.24595
637.5,0.2378,0.23927
640,0.22893,0.23349
642.5,0.22126,0.22861
645,0.21472,0.22462
647.5,0.20924,0.22146
650,0.20471,0.21905
652.5,0.201,0.21729
655,0.19801,0.2161
657.5,0.1956,0.21536
660,0.19367,0.21499
662.5,0.19209,0.21487
665,0.19078,0.21493
667.5,0.18964,0.2151
670,0.1886,0.21531
672.5,0.18761,0.21551
675,0.18662,0.21567
677.5,0.18559,0.21576
680,0.18452,0.21576
682.5,0.18338,0.21567
685,0.18218,0.21549
687.5,0.18092,0.21522
690,0.1796,0.21487
692.5,0.17826,0.21445
695,0.17689,0.21399
697.5,0.17552,0.21349
700,0.17415,0.21296
702.5,0.17281,0.21243
705,0.17484,0.2119
707.5,0.1771,0.21139
710,0.17928,0.21089
712.5,0.18138,0.21042
715,0.1834,0.20998
717.5,0.18534,0.20956
720,0.1872,0.20916
722.5,0.18899,0.20879
725,0.1907,0.20843
727.5,0.19233,0.20807
730,0.19386,0.2077
732.5,0.19529,0.20732
735,0.19661,0.2069
737.5,0.1978,0.20644
740,0.19886,0.20592
742.5,0.19978,0.20534
745,0.20056,0.20468
747.5,0.20118,0.20394
750,0.20165,0.20312
752.5,0.20197,0.20221
755,0.20214,0.20123
757.5,0.20218,0.20018
760,0.20211,0.19906
762.5,0.20193,0.1979
765,0.20166,0.1967
767.5,0.20132,0.19548
770,0.20096,0.19427
772.5,0.2006,0.19313
775,0.20031,0.19207
777.5,0.20012,0.19115
780,0.20005,0.19037
782.5,0.20013,0.18975
785,0.20036,0.1893
787.5,0.20074,0.18902
790,0.20126,0.18889
792.5,0.20192,0.18891
795,0.2027,0.18906
797.5,0.20357,0.18931
800,0.20451,0.18965
802.5,0.2055,0.19006
805,0.20652,0.19051
807.5,0.20756,0.19099
810,0.20859,0.19148
812.5,0.20953,0.19197
815,0.21032,0.19245
817.5,0.21092,0.19292
820,0.21132,0.19335
822.5,0.21154,0.19376
825,0.2116,0.19413
827.5,0.21153,0.19447
830,0.21137,0.19478
832.5,0.21114,0.19507
835,0.21088,0.19532
837.5,0.21063,0.19556
840,0.2104,0.19578
842.5,0.21021,0.19599
845,0.21007,0.19619
847.5,0.21,0.19638
850,0.21001,0.19659
852.5,0.21008,0.19679
855,0.21023,0.19701
857.5,0.21045,0.19724
860,0.21073,0.19749
862.5,0.21106,0.19775
865,0.21144,0.19803
867.5,0.21185,0.19834
870,0.2123,0.19865
872.5,0.21277,0.19898
875,0.21324,0.19932
877.5,0.21372,0.19967
880,0.21419,0.20002
882.5,0.21465,0.20036
885,0.21508,0.20069
887.5,0.21547,0.201
890,0.21581,0.20127
892.5,0.2161,0.20151
895,0.21633,0.2017
897.5,0.2165,0.20184
900,0.2166,0.20193
902.5,0.21664,0.20196
905,0.21662,0.20194
907.5,0.21654,0.20187
910,0.21643,0.20176
912.5,0.21627,0.20161
915,0.2161,0.20144
917.5,0.21591,0.20124
920,0.21572,0.20104
922.5,0.21555,0.20083
925,0.2154,0.20063
927.5,0.21527,0.20044
930,0.21517,0.20026
932.5,0.21512,0.2001
935,0.2151,0.19997
937.5,0.21511,0.19986
940,0.21516,0.19978
942.5,0.21523,0.19972
945,0.21532,0.19968
947.5,0.21543,0.19966
950,0.21555,0.19966
952.5,0.21567,0.19966
955,0.21577,0.19968
957.5,0.21584,0.1997
960,0.21588,0.19972
962.5,0.21587,0.19975
965,0.21582,0.19976
967.5,0.21573,0.19977
970,0.21562,0.19978
972.5,0.21547,0.19978
975,0.21532,0.19976
977.5,0.21515,0.19975
980,0.21498,0.19972
982.5,0.21481,0.19969
985,0.21465,0.19965
987.5,0.2145,0.19962
990,0.21437,0.19958
992.5,0.21426,0.19955
995,0.21417,0.19952
997.5,0.2141,0.19951
1000,0.21405,0.1995
1002.5,0.21403,0.1995
1005,0.21403,0.19951
1007.5,0.21405,0.19954
1010,0.2141,0.19958
1012.5,0.21415,0.19963
1015,0.21111,0.19693
1017.5,0.21058,0.19738
1020,0.21658,0.20407
1022.5,0.23093,0.21798
1025,0.25384,0.23868
1027.5,0.28461,0.26498
1030,0.32208,0.2954
1032.5,0.36502,0.32839
1035,0.41238,0.36252
1037.5,0.4634,0.39649
1040,0.51757,0.4292
1042.5,0.57412,0.45975
1045,0.63097,0.48745
1047.5,0.6838,0.51183
1050,0.72717,0.53263
1052.5,0.75824,0.54981
1055,0.77824,0.56352
1057.5,0.79018,0.57407
1060,0.79663,0.58188
1062.5,0.79934,0.58744
1065,0.7995,0.59127
1067.5,0.79801,0.59383
1070,0.79555,0.59556
1072.5,0.79264,0.59679
1075,0.78968,0.5978
1077.5,0.78692,0.59877
1080,0.78453,0.59979
1082.5,0.78256,0.60092
1085,0.78102,0.60217
1087.5,0.77986,0.6035
1090,0.779,0.60488
1092.5,0.77838,0.60624
1095,0.77791,0.60755
1097.5,0.77751,0.60874
1100,0.77713,0.60978
1102.5,0.77671,0.61066
1105,0.77622,0.61133
1107.5,0.77564,0.61181
1110,0.77495,0.61209
1112.5,0.77417,0.61218
1115,0.77329,0.6121
1117.5,0.77233,0.61186
1120,0.7713,0.61148
1122.5,0.77022,0.61099
1125,0.76911,0.61042
1127.5,0.76799,0.60977
1130,0.76686,0.60908
1132.5,0.76576,0.60836
1135,0.76468,0.60763
1137.5,0.76365,0.6069
1140,0.76267,0.60619
1142.5,0.76175,0.6055
1145,0.76089,0.60485
1147.5,0.7601,0.60425
1150,0.75938,0.60369
1152.5,0.75873,0.60318
1155,0.75815,0.60272
1157.5,0.75764,0.60231
1160,0.75719,0.60195
1162.5,0.7568,0.60164
1165,0.75647,0.60138
1167.5,0.7562,0.60116
1170,0.75597,0.60098
1172.5,0.75578,0.60084
1175,0.75563,0.60073
1177.5,0.75551,0.60065
1180,0.75542,0.60059
1182.5,0.75536,0.60055
1185,0.75531,0.60053
1187.5,0.75528,0.60051
1190,0.75526,0.60051
1192.5,0.75524,0.60051
