u1,u2,u3,y,ysp
18.32,0.55,16.6,6.9359,7.7965
18.013,0.55,16.6,7.0969,7.7965
17.512,0.55,16.6,7.2994,7.7965
17.021,0.55,16.6,7.5272,7.7965
16.653,0.55,16.6,7.744,7.7965
16.432,0.55,16.6,7.8905,7.7965
16.332,0.55,16.6,7.9399,7.7965
16.31,0.55,16.6,7.923,7.7965
16.33,0.55,16.6,7.8818,7.7965
16.363,0.55,16.6,7.8419,7.7965
16.394,0.55,16.6,7.8131,7.7965
16.417,0.55,16.6,7.7961,7.7965
16.43,0.55,16.6,7.7885,7.7965
16.436,0.55,16.6,7.7869,7.7965
16.436,0.55,16.6,7.7885,7.7965
16.434,0.55,16.6,7.7912,7.7965
16.432,0.55,16.6,7.7938,7.7965
16.43,0.55,16.6,7.7956,7.7965
16.428,0.55,16.6,7.7967,7.7965
16.427,0.55,16.6,7.7972,7.7965
16.427,0.55,16.6,7.7972,7.7965
16.427,0.55,16.6,7.7971,7.7965
16.427,0.55,16.6,7.7969,7.7965
16.427,0.55,16.6,7.7967,7.7965
16.428,0.55,16.6,7.7966,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
16.428,0.55,16.6,7.7965,7.7965
17.648,0.55,16.6,7.7965,9.1468
18.213,0.55,16.6,7.7965,9.1468
18.236,0.55,16.6,8.1454,9.1468
18.061,0.55,16.6,8.647,9.1468
17.829,0.55,16.6,8.9172,9.1468
17.6,0.55,16.6,9.0576,9.1468
17.408,0.55,16.6,9.1342,9.1468
17.265,0.55,16.6,9.1738,9.1468
17.172,0.55,16.6,9.1906,9.1468
17.121,0.55,16.6,9.1932,9.1468
17.102,0.55,16.6,9.1877,9.1468
17.102,0.55,16.6,9.1785,9.1468
17.114,0.55,16.6,9.1686,9.1468
17.13,0.55,16.6,9.1598,9.1468
17.145,0.55,16.6,9.1529,9.1468
17.158,0.55,16.6,9.1482,9.1468
17.168,0.55,16.6,9.1454,9.1468
17.174,0.55,16.6,9.1441,9.1468
17.177,0.55,16.6,9.1438,9.1468
17.179,0.55,16.6,9.1442,9.1468
17.179,0.55,16.6,9.1448,9.1468
17.178,0.55,16.6,9.1454,9.1468
17.177,0.55,16.6,9.146,9.1468
17.176,0.55,16.6,9.1464,9.1468
17.175,0.55,16.6,9.1467,9.1468
17.175,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.147,9.1468
17.174,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.1469,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
17.174,0.55,16.6,9.1468,9.1468
15.671,0.55,16.6,9.1468,7.6933
14.784,0.55,16.6,9.1468,7.6933
14.818,0.55,16.6,8.9878,7.6933
15.278,0.55,16.6,8.5986,7.6933
15.752,0.55,16.6,7.9965,7.6933
16.122,0.55,16.6,7.6964,7.6933
16.361,0.55,16.6,7.5878,7.6933
16.483,0.55,16.6,7.56,7.6933
16.518,0.55,16.6,7.5724,7.6933
16.502,0.55,16.6,7.6031,7.6933
16.465,0.55,16.6,7.6378,7.6933
16.426,0.55,16.6,7.6675,7.6933
16.395,0.55,16.6,7.6881,7.6933
16.375,0.55,16.6,7.6994,7.6933
16.364,0.55,16.6,7.7035,7.6933
16.361,0.55,16.6,7.7031,7.6933
16.361,0.55,16.6,7.7007,7.6933
16.364,0.55,16.6,7.6978,7.6933
16.366,0.55,16.6,7.6955,7.6933
16.369,0.55,16.6,7.6938,7.6933
16.37,0.55,16.6,7.6929,7.6933
16.371,0.55,16.6,7.6926,7.6933
16.371,0.55,16.6,7.6926,7.6933
16.371,0.55,16.6,7.6927,7.6933
16.371,0.55,16.6,7.6929,7.6933
16.371,0.55,16.6,7.6931,7.6933
16.371,0.55,16.6,7.6932,7.6933
16.371,0.55,16.6,7.6933,7.6933
16.371,0.55,16.6,7.6933,7.6933
16.371,0.55,16.6,7.6933,7.6933
16.371,0.55,16.6,7.6933,7.6933
15.647,0.55,16.6,7.6933,6.9108
15.095,0.55,16.6,7.6933,6.9108
14.766,0.55,16.6,7.5693,6.9108
14.615,0.55,16.6,7.4119,6.9108
14.592,0.55,16.6,7.2728,6.9108
14.652,0.55,16.6,7.162,6.9108
14.76,0.55,16.6,7.0771,6.9108
14.888,0.55,16.6,7.0139,6.9108
15.014,0.55,16.6,6.9683,6.9108
15.127,0.55,16.6,6.9367,6.9108
15.219,0.55,16.6,6.9161,6.9108
15.289,0.55,16.6,6.9038,6.9108
15.339,0.55,16.6,6.8976,6.9108
15.37,0.55,16.6,6.8956,6.9108
15.388,0.55,16.6,6.8962,6.9108
15.395,0.55,16.6,6.8982,6.9108
15.395,0.55,16.6,6.901,6.9108
15.391,0.55,16.6,6.9037,6.9108
15.385,0.55,16.6,6.9062,6.9108
15.379,0.55,16.6,6.9082,6.9108
15.373,0.55,16.6,6.9097,6.9108
15.368,0.55,16.6,6.9107,6.9108
15.364,0.55,16.6,6.9113,6.9108
15.362,0.55,16.6,6.9117,6.9108
15.36,0.55,16.6,6.9117,6.9108
15.359,0.55,16.6,6.9117,6.9108
15.359,0.55,16.6,6.9115,6.9108
15.359,0.55,16.6,6.9114,6.9108
15.359,0.55,16.6,6.9112,6.9108
15.36,0.55,16.6,6.9111,6.9108
15.36,0.55,16.6,6.911,6.9108
15.36,0.55,16.6,6.9109,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
15.361,0.55,16.6,6.9108,6.9108
12.407,0.55,16.6,6.9108,4.3867
9.3027,0.55,16.6,6.9108,4.3867
6.7239,0.55,16.6,6.7763,4.3867
5.2551,0.55,16.6,6.5601,4.3867
4.9949,0.55,16.6,6.3082,4.3867
5.5936,0.55,16.6,6.0326,4.3867
6.5986,0.55,16.6,5.7169,4.3867
7.6469,0.55,16.6,5.3037,4.3867
8.5657,0.55,16.6,4.7268,4.3867
9.3406,0.55,16.6,4.3497,4.3867
9.9604,0.55,16.6,4.1924,4.3867
10.42,0.55,16.6,4.1265,4.3867
10.729,0.55,16.6,4.1078,4.3867
10.911,0.55,16.6,4.1177,4.3867
10.994,0.55,16.6,4.1458,4.3867
11.004,0.55,16.6,4.1847,4.3867
10.969,0.55,16.6,4.2287,4.3867
10.909,0.55,16.6,4.2728,4.3867
10.84,0.55,16.6,4.3131,4.3867
10.773,0.55,16.6,4.3468,4.3867
10.714,0.55,16.6,4.3724,4.3867
10.667,0.55,16.6,4.39,4.3867
10.632,0.55,16.6,4.4005,4.3867
10.607,0.55,16.6,4.4053,4.3867
10.593,0.55,16.6,4.4062,4.3867
15.757,0.55,16.6,4.4046,9.7778
20.388,0.55,16.6,4.4017,9.7778
23.558,0.55,16.6,5.0725,9.7778
25.702,0.55,16.6,5.7624,9.7778
26.715,0.55,16.6,6.2047,9.7778
26.362,0.55,16.6,6.6302,9.7778
24.993,0.55,16.6,7.2832,9.7778
23.641,0.55,16.6,9.1903,9.7778
22.382,0.55,16.6,9.6164,9.7778
21.255,0.55,16.6,9.7951,9.7778
20.302,0.55,16.6,9.8878,9.7778
19.547,0.55,16.6,9.934,9.7778
18.988,0.55,16.6,9.951,9.7778
18.608,0.55,16.6,9.9489,9.7778
18.379,0.55,16.6,9.9344,9.7778
18.269,0.55,16.6,9.9127,9.7778
18.246,0.55,16.6,9.8876,9.7778
18.279,0.55,16.6,9.862,9.7778
18.346,0.55,16.6,9.8382,9.7778
18.426,0.55,16.6,9.8175,9.7778
18.509,0.55,16.6,9.8007,9.7778
18.585,0.55,16.6,9.7879,9.7778
18.65,0.55,16.6,9.7788,9.7778
18.703,0.55,16.6,9.773,9.7778
18.743,0.55,16.6,9.7698,9.7778
18.771,0.55,16.6,9.7685,9.7778
18.79,0.55,16.6,9.7685,9.7778
18.801,0.55,16.6,9.7693,9.7778
18.806,0.55,16.6,9.7706,9.7778
18.807,0.55,16.6,9.7721,9.7778
18.806,0.55,16.6,9.7735,9.7778
18.803,0.55,16.6,9.7748,9.7778
18.799,0.55,16.6,9.7759,9.7778
18.795,0.55,16.6,9.7767,9.7778
18.791,0.55,16.6,9.7773,9.7778
18.788,0.55,16.6,9.7778,9.7778
18.786,0.55,16.6,9.7781,9.7778
18.784,0.55,16.6,9.7782,9.7778
18.782,0.55,16.6,9.7783,9.7778
18.781,0.55,16.6,9.7783,9.7778
18.781,0.55,16.6,9.7782,9.7778
18.781,0.55,16.6,9.7782,9.7778
18.781,0.55,16.6,9.7781,9.7778
18.781,0.55,16.6,9.778,9.7778
18.781,0.55,16.6,9.778,9.7778
18.781,0.55,16.6,9.7779,9.7778
18.781,0.55,16.6,9.7779,9.7778
18.781,0.55,16.6,9.7779,9.7778
18.781,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
18.782,0.55,16.6,9.7778,9.7778
16.025,0.55,16.6,9.7778,7.8463
13.514,0.55,16.6,9.7778,7.8463
12.517,0.55,16.6,9.693,7.8463
12.987,0.55,16.6,9.5032,7.8463
14.136,0.55,16.6,9.1785,7.8463
15.226,0.55,16.6,8.5636,7.8463
16.019,0.55,16.6,7.788,7.8463
16.519,0.55,16.6,7.5667,7.8463
16.752,0.55,16.6,7.5274,7.8463
16.793,0.55,16.6,7.5664,7.8463
16.729,0.55,16.6,7.6429,7.8463
16.63,0.55,16.6,7.7289,7.8463
16.54,0.55,16.6,7.8022,7.8463
16.477,0.55,16.6,7.8501,7.8463
16.442,0.55,16.6,7.872,7.8463
16.429,0.55,16.6,7.8754,7.8463
16.428,0.55,16.6,7.8694,7.8463
16.434,0.55,16.6,7.8608,7.8463
16.441,0.55,16.6,7.8532,7.8463
16.447,0.55,16.6,7.848,7.8463
16.451,0.55,16.6,7.8452,7.8463
16.453,0.55,16.6,7.8442,7.8463
16.454,0.55,16.6,7.8442,7.8463
16.454,0.55,16.6,7.8448,7.8463
16.453,0.55,16.6,7.8454,7.8463
16.453,0.55,16.6,7.8459,7.8463
16.452,0.55,16.6,7.8462,7.8463
16.452,0.55,16.6,7.8464,7.8463
16.452,0.55,16.6,7.8464,7.8463
16.452,0.55,16.6,7.8464,7.8463
16.452,0.55,16.6,7.8464,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8462,7.8463
16.452,0.55,16.6,7.8462,7.8463
16.452,0.55,16.6,7.8462,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
16.452,0.55,16.6,7.8463,7.8463
17.72,0.55,16.6,7.8463,9.2622
18.334,0.55,16.6,7.8463,9.2622
18.421,0.55,16.6,8.2327,9.2622
18.305,0.55,16.6,8.7234,9.2622
18.112,0.55,16.6,8.9833,9.2622
17.901,0.55,16.6,9.1264,9.2622
17.705,0.55,16.6,9.2105,9.2622
17.544,0.55,16.6,9.2594,9.2622
17.425,0.55,16.6,9.2854,9.2622
17.346,0.55,16.6,9.2965,9.2622
17.301,0.55,16.6,9.2981,9.2622
17.282,0.55,16.6,9.2941,9.2622
17.279,0.55,16.6,9.2875,9.2622
17.287,0.55,16.6,9.2803,9.2622
17.299,0.55,16.6,9.2737,9.2622
17.313,0.55,16.6,9.2683,9.2622
17.324,0.55,16.6,9.2645,9.2622
17.333,0.55,16.6,9.262,9.2622
17.34,0.55,16.6,9.2606,9.2622
17.344,0.55,16.6,9.2601,9.2622
17.346,0.55,16.6,9.2601,9.2622
17.347,0.55,16.6,9.2604,9.2622
17.347,0.55,16.6,9.2608,9.2622
17.346,0.55,16.6,9.2613,9.2622
17.346,0.55,16.6,9.2617,9.2622
17.345,0.55,16.6,9.262,9.2622
17.344,0.55,16.6,9.2622,9.2622
17.344,0.55,16.6,9.2623,9.2622
17.343,0.55,16.6,9.2624,9.2622
17.343,0.55,16.6,9.2624,9.2622
17.343,0.55,16.6,9.2624,9.2622
17.343,0.55,16.6,9.2623,9.2622
15.55,0.55,16.6,9.2623,9.2622
