t,y,yref
542.5,0.50291,0.46506
545,0.6137,0.49515
547.5,0.6956,0.52185
550,0.75459,0.5448
552.5,0.79542,0.56384
555,0.82178,0.57901
557.5,0.83652,0.59055
560,0.8419,0.59883
562.5,0.83977,0.60433
565,0.83172,0.60759
567.5,0.81919,0.60916
570,0.80352,0.60956
572.5,0.78597,0.60923
575,0.76767,0.60855
577.5,0.74962,0.6078
580,0.73262,0.60716
582.5,0.71725,0.60675
585,0.70384,0.60663
587.5,0.69254,0.60679
590,0.6833,0.6072
592.5,0.67593,0.60782
595,0.67018,0.60858
597.5,0.66574,0.60942
600,0.66229,0.61028
602.5,0.65955,0.61112
605,0.65727,0.61188
607.5,0.65525,0.61254
610,0.65333,0.61308
612.5,0.6514,0.61349
615,0.64939,0.61377
617.5,0.64727,0.61391
620,0.64501,0.61392
622.5,0.64264,0.61383
625,0.64017,0.61364
627.5,0.63763,0.61336
630,0.63507,0.61302
632.5,0.63251,0.61263
635,0.63,0.6122
637.5,0.62758,0.61175
640,0.62527,0.61128
642.5,0.62309,0.61081
645,0.62107,0.61034
647.5,0.61922,0.60988
650,0.61753,0.60943
652.5,0.616,0.609
655,0.61462,0.60858
657.5,0.61338,0.60818
660,0.61227,0.60778
662.5,0.61127,0.6074
665,0.61036,0.60703
667.5,0.60953,0.60668
670,0.60877,0.60633
672.5,0.60807,0.60599
675,0.60742,0.60566
677.5,0.60682,0.60534
680,0.60626,0.60503
682.5,0.60575,0.60473
685,0.60527,0.60444
687.5,0.60483,0.60416
690,0.60443,0.60389
692.5,0.60407,0.60364
695,0.60374,0.6034
697.5,0.60344,0.60316
700,0.60317,0.60294
702.5,0.60247,0.60273
705,0.60153,0.60252
707.5,0.60049,0.60233
710,0.59945,0.60214
712.5,0.59848,0.60196
715,0.59761,0.60179
717.5,0.59687,0.60162
720,0.59626,0.60147
722.5,0.59577,0.60133
725,0.5954,0.60122
727.5,0.59513,0.60112
730,0.59493,0.60105
732.5,0.59482,0.60102
735,0.59477,0.60103
737.5,0.59481,0.60109
740,0.59495,0.60121
742.5,0.59521,0.60139
745,0.59563,0.60163
747.5,0.59623,0.60194
750,0.59704,0.60232
752.5,0.59807,0.60276
755,0.59932,0.60325
757.5,0.60078,0.60379
760,0.60239,0.60435
762.5,0.6041,0.60491
765,0.48686,0.59271
767.5,0.28299,0.57982
770,0.10752,0.57821
772.5,0,0.58567
775,0,0.60026
777.5,0,0.62034
780,0.048268,0.64452
782.5,0.1718,0.67259
785,0.31786,0.70397
787.5,0.46426,0.73761
790,0.59666,0.77227
792.5,0.7087,0.80674
795,0.7994,0.83994
797.5,0.87067,0.87099
800,0.92566,0.89933
802.5,0.9677,0.92471
805,0.99983,0.94714
807.5,1.0245,0.96684
810,1.0436,0.98408
812.5,1.0585,0.99915
815,1.0702,1.0123
817.5,1.0795,1.0239
820,1.0869,1.034
822.5,1.0929,1.043
825,1.098,1.0511
827.5,1.1024,1.0584
830,1.1065,1.0654
832.5,1.1105,1.072
835,1.1146,1.0784
837.5,1.1187,1.0848
840,1.123,1.0911
842.5,1.1274,1.0973
845,1.1318,1.1035
847.5,1.1363,1.1097
850,1.1406,1.1157
852.5,1.1449,1.1215
855,1.1489,1.127
857.5,1.1528,1.1323
860,1.1564,1.1373
862.5,1.1597,1.142
865,1.1628,1.1464
867.5,1.1656,1.1504
870,1.1681,1.1541
872.5,1.1704,1.1575
875,1.1725,1.1606
877.5,1.1744,1.1635
880,1.1761,1.166
882.5,1.1776,1.1683
885,1.1789,1.1704
887.5,1.1802,1.1723
890,1.1813,1.174
892.5,1.1822,1.1755
895,1.1831,1.1769
897.5,1.184,1.1782
900,1.1847,1.1793
902.5,1.1854,1.1804
905,1.186,1.1813
907.5,1.1866,1.1822
910,1.1871,1.183
912.5,1.1876,1.1837
915,1.188,1.1844
917.5,1.1885,1.185
920,1.1889,1.1855
922.5,1.1892,1.1861
925,1.1896,1.1866
927.5,1.1899,1.187
930,1.1902,1.1875
932.5,1.1906,1.1879
935,1.1909,1.1883
937.5,1.1911,1.1887
940,1.1914,1.189
942.5,1.1917,1.1894
945,1.1919,1.1897
947.5,1.1922,1.19
950,1.1924,1.1903
952.5,1.1926,1.1906
955,1.1926,1.1909
957.5,1.1927,1.1911
960,1.1928,1.1914
962.5,1.1929,1.1916
965,1.193,1.1919
967.5,1.1931,1.1921
970,1.1932,1.1923
972.5,1.1933,1.1925
975,1.1935,1.1927
977.5,1.1936,1.1929
980,1.1938,1.1931
982.5,1.194,1.1933
985,1.1941,1.1934
987.5,1.1943,1.1936
990,1.1945,1.1938
992.5,1.1946,1.194
995,1.1948,1.1941
997.5,1.1949,1.1943
1000,1.1951,1.1944
