t,y,yref
472.5,0.25965,0.19972
475,0.25855,0.19982
477.5,0.25747,0.1999
480,0.2564,0.19996
482.5,0.25535,0.19997
485,0.2543,0.19995
487.5,0.25325,0.19989
490,0.25219,0.19978
492.5,0.25113,0.19961
495,0.25006,0.19939
497.5,0.24896,0.19912
500,0.24785,0.19879
502.5,0.24673,0.19841
505,0.24558,0.19798
507.5,0.24443,0.19751
510,0.24327,0.197
512.5,0.24212,0.19647
515,0.2353,0.19318
517.5,0.22968,0.19304
520,0.22941,0.19926
522.5,0.2366,0.2129
525,0.25182,0.23362
527.5,0.27462,0.26032
530,0.30386,0.29154
532.5,0.33795,0.32574
535,0.3751,0.36145
537.5,0.41354,0.39732
540,0.45159,0.43219
542.5,0.48785,0.46506
545,0.52123,0.49515
547.5,0.55094,0.52185
550,0.57655,0.5448
552.5,0.5979,0.56384
555,0.61508,0.57901
557.5,0.62836,0.59055
560,0.6382,0.59883
562.5,0.64511,0.60433
565,0.64967,0.60759
567.5,0.65246,0.60916
570,0.65399,0.60956
572.5,0.65472,0.60923
575,0.65504,0.60855
577.5,0.65523,0.6078
580,0.65548,0.60716
582.5,0.65591,0.60675
585,0.65658,0.60663
587.5,0.6575,0.60679
590,0.65863,0.6072
592.5,0.65994,0.60782
595,0.66136,0.60858
597.5,0.66284,0.60942
600,0.66431,0.61028
602.5,0.66574,0.61112
605,0.66707,0.61188
607.5,0.66828,0.61254
610,0.66935,0.61308
612.5,0.67027,0.61349
615,0.67104,0.61377
617.5,0.67165,0.61391
620,0.67213,0.61392
622.5,0.67248,0.61383
625,0.67272,0.61364
627.5,0.67286,0.61336
630,0.67291,0.61302
632.5,0.67291,0.61263
635,0.67285,0.6122
637.5,0.67275,0.61175
640,0.67263,0.61128
642.5,0.67249,0.61081
645,0.67234,0.61034
647.5,0.67218,0.60988
650,0.67203,0.60943
652.5,0.67188,0.609
655,0.67173,0.60858
657.5,0.67158,0.60818
660,0.67144,0.60778
662.5,0.6713,0.6074
665,0.67116,0.60703
667.5,0.67102,0.60668
670,0.67088,0.60633
672.5,0.67075,0.60599
675,0.67061,0.60566
677.5,0.67047,0.60534
680,0.67033,0.60503
682.5,0.6702,0.60473
685,0.67007,0.60444
687.5,0.66994,0.60416
690,0.66982,0.60389
692.5,0.6697,0.60364
695,0.66959,0.6034
697.5,0.66948,0.60316
700,0.66938,0.60294
702.5,0.66927,0.60273
705,0.66918,0.60252
707.5,0.66908,0.60233
710,0.66898,0.60214
712.5,0.66889,0.60196
715,0.6688,0.60179
717.5,0.66871,0.60162
720,0.66863,0.60147
722.5,0.66855,0.60133
725,0.66848,0.60122
727.5,0.66843,0.60112
730,0.6684,0.60105
732.5,0.6684,0.60102
735,0.66843,0.60103
737.5,0.6685,0.60109
740,0.66862,0.60121
742.5,0.6688,0.60139
745,0.66903,0.60163
747.5,0.66932,0.60194
750,0.66968,0.60232
752.5,0.6701,0.60276
755,0.67057,0.60325
757.5,0.67108,0.60379
760,0.67162,0.60435
762.5,0.67216,0.60491
765,0.65824,0.59271
767.5,0.64232,0.57982
770,0.63749,0.57821
772.5,0.6423,0.58567
775,0.65538,0.60026
777.5,0.6754,0.62034
780,0.70107,0.64452
782.5,0.73224,0.67259
785,0.7682,0.70397
787.5,0.80758,0.73761
790,0.84874,0.77227
792.5,0.89,0.80674
795,0.92985,0.83994
797.5,0.96709,0.87099
800,1.0009,0.89933
802.5,1.0309,0.92471
805,1.0569,0.94714
807.5,1.0792,0.96684
810,1.098,0.98408
812.5,1.1138,0.99915
815,1.127,1.0123
817.5,1.1378,1.0239
820,1.1466,1.034
822.5,1.1539,1.043
825,1.1599,1.0511
827.5,1.1649,1.0584
830,1.1693,1.0654
832.5,1.1733,1.072
835,1.177,1.0784
837.5,1.1807,1.0848
840,1.1843,1.0911
842.5,1.188,1.0973
845,1.1917,1.1035
847.5,1.1954,1.1097
850,1.1991,1.1157
852.5,1.2027,1.1215
855,1.2061,1.127
857.5,1.2094,1.1323
860,1.2126,1.1373
862.5,1.2155,1.142
865,1.2182,1.1464
867.5,1.2206,1.1504
870,1.2229,1.1541
872.5,1.2249,1.1575
875,1.2267,1.1606
877.5,1.2283,1.1635
880,1.2298,1.166
882.5,1.231,1.1683
885,1.2321,1.1704
887.5,1.2331,1.1723
890,1.234,1.174
892.5,1.2348,1.1755
895,1.2355,1.1769
897.5,1.2361,1.1782
900,1.2366,1.1793
902.5,1.2371,1.1804
905,1.2376,1.1813
907.5,1.238,1.1822
910,1.2383,1.183
912.5,1.2387,1.1837
915,1.239,1.1844
917.5,1.2394,1.185
920,1.2397,1.1855
922.5,1.24,1.1861
925,1.2402,1.1866
927.5,1.2405,1.187
930,1.2408,1.1875
932.5,1.2411,1.1879
935,1.2414,1.1883
937.5,1.2417,1.1887
940,1.2419,1.189
942.5,1.2422,1.1894
945,1.2425,1.1897
947.5,1.2428,1.19
950,1.2431,1.1903
952.5,1.2433,1.1906
955,1.2436,1.1909
957.5,1.2439,1.1911
960,1.2442,1.1914
962.5,1.2445,1.1916
965,1.2447,1.1919
967.5,1.245,1.1921
970,1.2453,1.1923
972.5,1.2456,1.1925
975,1.2458,1.1927
977.5,1.2461,1.1929
980,1.2464,1.1931
982.5,1.2466,1.1933
985,1.2469,1.1934
987.5,1.2471,1.1936
990,1.2474,1.1938
992.5,1.2477,1.194
995,1.2479,1.1941
997.5,1.2482,1.1943
1000,1.2484,1.1944
