t,y,yref
2000,11.726,8.0004
2010,11.726,8.0004
2020,11.727,8.0004
2030,11.763,8.2256
2040,11.826,8.4896
2050,11.899,8.6658
2060,11.969,8.7647
2070,12.028,8.822
2080,12.076,8.8584
2090,12.114,8.8839
2100,12.145,8.903
2110,12.171,8.9181
2120,12.192,8.9304
2130,12.21,8.9405
2140,12.225,8.9489
2150,12.238,8.956
2160,12.249,8.9621
2170,12.259,8.9672
2180,12.268,8.9716
2190,12.276,8.9753
2200,12.283,8.9785
2210,12.289,8.9813
2220,12.294,8.9837
2230,12.299,8.9858
2240,12.303,8.9876
2250,12.307,8.9891
2260,12.31,8.9905
2270,12.313,8.9917
2280,12.316,8.9927
2290,12.318,8.9936
2300,12.32,8.9944
2310,12.322,8.9951
2320,12.324,8.9957
2330,12.326,8.9962
2340,12.327,8.9967
2350,12.328,8.9971
2360,12.329,8.9974
2370,12.33,8.9977
2380,12.331,8.998
2390,12.332,8.9982
2400,12.333,8.9984
2410,12.333,8.9986
2420,12.334,8.9988
2430,12.37,9.077
2440,12.434,9.1564
2450,12.515,9.2241
2460,12.606,9.2832
2470,12.704,9.3381
2480,12.811,9.3917
2490,12.93,9.4456
2500,13.061,9.5001
2510,13.206,9.5545
2520,13.366,9.6075
2530,13.536,9.6581
2540,13.716,9.7051
2550,13.9,9.7481
2560,14.085,9.7868
2570,14.266,9.8211
2580,14.442,9.8514
2590,14.61,9.8777
2600,14.768,9.9005
2610,14.914,9.9201
2620,15.048,9.9368
2630,15.17,9.951
2640,15.281,9.963
2650,15.38,9.973
2660,15.468,9.9812
2670,15.545,9.9881
2680,15.613,9.9936
2690,15.673,9.998
2700,15.724,10.002
2710,15.768,10.004
2720,15.806,10.006
2730,15.838,10.008
2740,15.865,10.009
2750,15.888,10.009
2760,15.907,10.01
2770,15.922,10.01
2780,15.935,10.01
2790,15.945,10.01
2800,15.953,10.009
