t,y,yref
1010,5.53,5.4436
1020,5.5178,5.4422
1030,5.5067,5.4405
1040,5.4967,5.4388
1050,5.4877,5.437
1060,5.4797,5.4354
1070,5.4726,5.4338
1080,5.4663,5.4323
1090,5.4607,5.4309
1100,5.4557,5.4297
1110,5.4513,5.4286
1120,5.4474,5.4275
1130,5.444,5.4266
1140,5.441,5.4258
1150,5.4383,5.425
1160,5.436,5.4244
1170,5.4339,5.4238
1180,5.4321,5.4232
1190,5.4305,5.4228
1200,5.4291,5.4223
1210,5.4278,5.4219
1220,5.4266,5.4215
1230,5.4256,5.4211
1240,5.4246,5.4207
1250,5.5447,5.5199
1260,5.6813,5.6394
1270,5.8025,5.7503
1280,5.907,5.849
1290,5.999,5.9378
1300,6.082,6.0191
1310,6.1582,6.0945
1320,6.2288,6.165
1330,6.2947,6.2311
1340,6.3561,6.2932
1350,6.4132,6.3514
1360,6.4663,6.4057
1370,6.5151,6.4562
1380,6.5597,6.5028
1390,6.6001,6.5454
1400,6.6362,6.5841
1410,6.668,6.6187
1420,6.6956,6.6494
1430,6.7191,6.6761
1440,6.7388,6.6991
1450,6.7549,6.7186
1460,6.7677,6.7348
1470,6.7776,6.7479
1480,6.785,6.7585
1490,6.7902,6.7667
1500,6.7937,6.773
1510,6.7958,6.7776
1520,6.7968,6.7808
1530,6.7968,6.783
1540,6.7963,6.7842
1550,6.7953,6.7848
1560,6.7939,6.7849
1570,6.7924,6.7846
1580,6.7908,6.7841
1590,6.7891,6.7834
1600,6.7875,6.7825
1610,6.7859,6.7817
1620,6.7844,6.7808
1630,6.783,6.7799
1640,6.7817,6.779
1650,6.7805,6.7782
1660,6.7794,6.7775
1670,6.7785,6.7768
1680,6.8233,6.8173
1690,6.9021,6.8892
1700,7.0095,6.9877
1710,7.1443,7.1113
1720,7.3075,7.26
1730,7.4979,7.4312
1740,7.6972,7.6089
1750,7.8545,7.7546
1760,7.9291,7.8365
1770,7.9409,7.8654
1780,7.926,7.8679
1790,7.9048,7.8611
1800,7.8851,7.8522
1810,7.8685,7.8439
1820,7.8551,7.8366
1830,7.8442,7.8302
1840,7.8354,7.8247
1850,7.8281,7.82
1860,7.8222,7.8159
1870,7.8173,7.8125
1880,7.8134,7.8096
1890,7.8102,7.8072
1900,7.8077,7.8053
1910,7.8056,7.8037
1920,7.804,7.8023
1930,7.8027,7.8013
1940,7.8017,7.8004
1950,7.8008,7.7997
1960,7.8002,7.7992
1970,7.7997,7.7987
1980,7.7992,7.7983
1990,7.7989,7.798
2000,7.7986,7.7978
2010,7.7984,7.7976
2020,7.7982,7.7974
2030,7.7981,7.7973
2040,7.798,7.7972
2050,7.7978,7.7972
2060,7.7977,7.7971
2070,7.7976,7.797
2080,7.7976,7.797
2090,7.7975,7.797
2100,7.7974,7.7969
2110,7.7973,7.7969
2120,7.7973,7.7968
2130,7.7972,7.7968
2140,7.7971,7.7968
2150,7.7971,7.7968
2160,8.2995,8.268
2170,8.7449,8.7145
2180,8.8979,8.8752
2190,8.964,8.947
2200,9.0068,8.9941
2210,9.0386,9.0292
2220,9.0634,9.0564
2230,9.0829,9.0779
2240,9.0984,9.0949
2250,9.1107,9.1084
2260,9.1203,9.1189
2270,9.1277,9.1271
2280,9.1335,9.1334
2290,9.1378,9.1382
2300,9.141,9.1417
2310,9.1434,9.1443
2320,9.1451,9.1461
2330,9.1462,9.1474
2340,9.147,9.1482
2350,9.1474,9.1487
2360,9.1477,9.1489
2370,9.1478,9.149
2380,9.1478,9.1489
2390,9.1478,9.1488
2400,9.1477,9.1487
2410,9.1476,9.1485
2420,9.1475,9.1483
2430,9.1474,9.1481
2440,9.1473,9.1479
2450,9.1472,9.1478
2460,9.1471,9.1476
2470,9.147,9.1475
2480,9.147,9.1474
2490,9.1469,9.1473
2500,9.1469,9.1472
2510,9.1469,9.1472
2520,9.1468,9.1471
2530,9.1468,9.1471
2540,9.1468,9.147
2550,8.9723,8.9817
2560,8.5659,8.6084
2570,7.9653,8.0337
2580,7.7281,7.7754
2590,7.6692,7.7033
2600,7.6553,7.6798
2610,7.6548,7.672
2620,7.6585,7.6701
2630,7.6632,7.6706
2640,7.6678,7.6721
2650,7.6721,7.674
2660,7.6759,7.6762
2670,7.6793,7.6784
2680,7.6823,7.6806
2690,7.6848,7.6826
2700,7.687,7.6845
2710,7.6887,7.6861
2720,7.6902,7.6875
2730,7.6913,7.6887
2740,7.6922,7.6897
2750,7.6928,7.6905
2760,7.6933,7.6911
2770,7.6936,7.6916
2780,7.6939,7.692
2790,7.694,7.6924
2800,7.6941,7.6926
2810,7.6941,7.6928
2820,7.6942,7.6929
2830,7.6941,7.693
2840,7.6941,7.6931
2850,7.694,7.6932
2860,7.5352,7.5435
2870,7.4061,7.419
2880,7.3115,7.3259
2890,7.2382,7.253
2900,7.1792,7.1938
2910,7.1306,7.1447
2920,7.0903,7.1037
2930,7.0566,7.0692
2940,7.0285,7.0402
2950,7.005,7.0159
2960,6.9855,6.9955
2970,6.9694,6.9785
2980,6.9562,6.9645
2990,6.9455,6.9529
3000,6.9368,6.9434
3010,6.9299,6.9357
3020,6.9244,6.9295
3030,6.9201,6.9246
3040,6.9168,6.9208
3050,6.9143,6.9177
3060,6.9125,6.9154
3070,6.9112,6.9137
3080,6.9103,6.9124
3090,6.9097,6.9115
3100,6.9093,6.9108
3110,6.9091,6.9104
3120,6.9091,6.9101
3130,6.9091,6.91
3140,6.9092,6.9099
3150,6.9093,6.9099
3160,6.9095,6.91
3170,6.9096,6.9101
3180,6.9098,6.9101
3190,6.9099,6.9102
3200,6.9101,6.9103
3210,6.9102,6.9104
3220,6.9103,6.9105
3230,6.9104,6.9105
3240,6.9105,6.9106
3250,6.9105,6.9107
3260,6.9106,6.9107
3270,6.9106,6.9107
3280,6.9107,6.9108
3290,6.9107,6.9108
3300,6.9107,6.9108
3310,6.9107,6.9108
3320,6.9108,6.9108
3330,6.79,6.8011
3340,6.6242,6.649
3350,6.4451,6.4852
3360,6.2571,6.3163
3370,6.0528,6.1393
3380,5.8136,5.9458
3390,5.497,5.7213
3400,4.9952,5.4423
3410,4.4554,5.0879
3420,4.2256,4.7332
3430,4.1352,4.5195
3440,4.1076,4.4207
3450,4.112,4.3794
3460,4.1326,4.3659
3470,4.1605,4.366
3480,4.1909,4.3723
3490,4.2206,4.3806
3500,4.2479,4.3888
3510,4.2718,4.3958
3520,4.2922,4.4012
3530,4.3091,4.4049
3540,4.3229,4.4072
3550,4.334,4.4084
3560,4.3429,4.4086
3570,4.35,4.4082
3580,5.2504,5.149
3590,5.8437,5.7279
3600,6.174,6.0527
3610,6.4637,6.328
3620,6.8037,6.6285
3630,7.3997,7.0499
3640,9.1286,8.4834
3650,9.5599,9.4012
3660,9.5853,9.4674
3670,9.6156,9.5278
3680,9.6469,9.581
3690,9.6768,9.6271
3700,9.7041,9.6666
3710,9.7284,9.7
3720,9.7493,9.7279
3730,9.7671,9.7511
3740,9.7819,9.77
3750,9.7939,9.7853
3760,9.8035,9.7973
3770,9.8108,9.8065
3780,9.8162,9.8134
3790,9.8199,9.8182
3800,9.8221,9.8213
3810,9.8232,9.8229
3820,9.8232,9.8234
3830,9.8225,9.8229
3840,9.821,9.8216
3850,9.8191,9.8197
3860,9.8168,9.8174
3870,9.8142,9.8148
3880,9.8114,9.812
3890,9.8086,9.809
3900,9.8057,9.8061
3910,9.8029,9.8031
3920,9.8002,9.8003
3930,9.7976,9.7976
3940,9.7951,9.7951
3950,9.7929,9.7927
3960,9.7908,9.7905
3970,9.7889,9.7886
3980,9.7872,9.7868
3990,9.7857,9.7852
4000,9.7843,9.7839
4010,9.7831,9.7827
4020,9.7821,9.7816
4030,9.7813,9.7808
4040,9.7805,9.78
4050,9.7799,9.7794
4060,9.7794,9.7789
4070,9.779,9.7785
4080,9.7786,9.7782
4090,9.7783,9.7779
4100,9.7781,9.7777
4110,9.778,9.7776
4120,9.7779,9.7775
4130,9.7778,9.7774
4140,9.7777,9.7774
4150,9.7777,9.7774
4160,9.7777,9.7774
4170,9.7777,9.7774
4180,9.7777,9.7774
4190,9.7778,9.7775
4200,9.7778,9.7775
4210,9.7778,9.7775
4220,9.7778,9.7776
4230,9.7224,9.7221
4240,9.6117,9.6122
4250,9.4262,9.4303
4260,9.0888,9.1081
4270,8.143,8.2575
4280,7.5088,7.5632
4290,7.4983,7.5308
4300,7.5524,7.5677
4310,7.6262,7.6263
4320,7.6988,7.686
4330,7.758,7.7354
4340,7.7997,7.771
4350,7.8265,7.7947
4360,7.8427,7.8102
4370,7.8524,7.8206
4380,7.8582,7.8279
4390,7.8616,7.8333
4400,7.8634,7.8373
4410,7.8642,7.8404
4420,7.8643,7.8427
4430,7.8638,7.8444
4440,7.863,7.8455
4450,7.862,7.8463
4460,7.8609,7.8469
4470,7.8597,7.8472
4480,7.8585,7.8474
4490,7.8574,7.8475
4500,7.8563,7.8476
4510,7.8552,7.8475
4520,7.8543,7.8475
4530,7.8534,7.8474
4540,7.8526,7.8474
4550,7.8519,7.8473
4560,7.8512,7.8472
4570,7.8506,7.8471
4580,7.8501,7.847
4590,7.8496,7.8469
4600,7.8492,7.8469
4610,7.8488,7.8468
4620,7.8485,7.8467
4630,7.8482,7.8467
4640,7.8479,7.8466
4650,7.8477,7.8466
4660,7.8475,7.8466
4670,7.8473,7.8465
4680,7.8471,7.8465
4690,7.847,7.8465
4700,8.3997,8.3685
4710,8.8107,8.7832
4720,8.9493,8.9287
4730,9.0196,9.0042
4740,9.0692,9.0576
4750,9.1078,9.0991
4760,9.1389,9.1324
4770,9.1643,9.1596
4780,9.1851,9.1819
4790,9.2022,9.2001
4800,9.2162,9.2149
4810,9.2274,9.2269
4820,9.2365,9.2365
4830,9.2436,9.2441
4840,9.2492,9.25
4850,9.2535,9.2545
4860,9.2567,9.258
4870,9.2591,9.2605
4880,9.2608,9.2623
4890,9.262,9.2635
4900,9.2627,9.2642
4910,9.2632,9.2647
4920,9.2634,9.2649
4930,9.2635,9.2649
4940,9.2635,9.2648
4950,9.2634,9.2646
4960,9.2633,9.2644
4970,9.2631,9.2642
4980,9.263,9.2639
4990,9.2628,9.2637
5000,9.2627,9.2635
